yardline_100,ydstogo,decision,prob
19,13,field_goal,1
19,14,field_goal,1
19,15,field_goal,1
19,16,field_goal,1
19,17,field_goal,1
19,18,field_goal,1
19,19,field_goal,0.875
19,19,go_for_it,0.125
20,1,field_goal,0.44
20,1,go_for_it,0.56
20,2,field_goal,0.4482758620689655
20,2,go_for_it,0.5517241379310345
20,3,field_goal,0.9655172413793104
20,3,go_for_it,0.034482758620689655
20,4,field_goal,0.8666666666666667
20,4,go_for_it,0.13333333333333333
20,5,field_goal,0.8717948717948718
20,5,go_for_it,0.1282051282051282
20,6,field_goal,0.8163265306122449
20,6,go_for_it,0.1836734693877551
20,7,field_goal,0.9230769230769231
20,7,go_for_it,0.07692307692307693
20,8,field_goal,0.96875
20,8,go_for_it,0.03125
20,9,field_goal,0.8666666666666667
20,9,go_for_it,0.13333333333333333
20,10,field_goal,0.8125
20,10,go_for_it,0.1875
20,11,field_goal,0.8571428571428571
20,11,go_for_it,0.14285714285714285
20,12,field_goal,0.9230769230769231
20,12,go_for_it,0.07692307692307693
20,13,field_goal,1
20,14,field_goal,1
20,15,field_goal,1
20,16,field_goal,0.9166666666666666
20,16,go_for_it,0.08333333333333333
20,17,field_goal,1
20,18,field_goal,1
20,19,field_goal,0.3333333333333333
20,19,go_for_it,0.6666666666666666
20,20,field_goal,0.875
20,20,go_for_it,0.125
21,1,field_goal,0.20930232558139536
21,1,go_for_it,0.7906976744186046
21,2,field_goal,0.90625
21,2,go_for_it,0.09375
21,3,field_goal,0.7666666666666667
21,3,go_for_it,0.23333333333333334
21,4,field_goal,0.7692307692307693
21,4,go_for_it,0.23076923076923078
21,5,field_goal,0.8095238095238095
21,5,go_for_it,0.19047619047619047
21,6,field_goal,0.9259259259259259
21,6,go_for_it,0.07407407407407407
21,7,field_goal,0.7647058823529411
21,7,go_for_it,0.23529411764705882
21,8,field_goal,0.9333333333333333
21,8,go_for_it,0.06666666666666667
21,9,field_goal,0.9130434782608695
21,9,go_for_it,0.08695652173913043
21,10,field_goal,0.8387096774193549
21,10,go_for_it,0.16129032258064516
21,11,field_goal,0.8333333333333334
21,11,go_for_it,0.16666666666666666
21,12,field_goal,1
21,13,field_goal,1
21,14,field_goal,1
21,15,field_goal,0.6666666666666666
21,15,go_for_it,0.3333333333333333
21,16,field_goal,0.8571428571428571
21,16,go_for_it,0.14285714285714285
21,17,field_goal,1
21,18,field_goal,1
21,19,field_goal,1
21,20,field_goal,1
21,21,field_goal,0.8571428571428571
21,21,go_for_it,0.14285714285714285
22,1,field_goal,0.3125
22,1,go_for_it,0.6875
22,2,field_goal,0.8620689655172413
22,2,go_for_it,0.13793103448275862
22,3,field_goal,0.7391304347826086
22,3,go_for_it,0.2608695652173913
22,4,field_goal,0.8235294117647058
22,4,go_for_it,0.17647058823529413
22,5,field_goal,0.8125
22,5,go_for_it,0.1875
22,6,field_goal,0.88
22,6,go_for_it,0.12
22,7,field_goal,0.8620689655172413
22,7,go_for_it,0.13793103448275862
22,8,field_goal,0.8387096774193549
22,8,go_for_it,0.16129032258064516
22,9,field_goal,0.9090909090909091
22,9,go_for_it,0.09090909090909091
22,10,field_goal,0.8857142857142857
22,10,go_for_it,0.11428571428571428
22,11,field_goal,0.9230769230769231
22,11,go_for_it,0.07692307692307693
22,12,field_goal,0.9166666666666666
22,12,go_for_it,0.08333333333333333
22,13,field_goal,0.8571428571428571
22,13,go_for_it,0.14285714285714285
22,14,field_goal,0.8571428571428571
22,14,go_for_it,0.14285714285714285
22,15,field_goal,0.9230769230769231
22,15,go_for_it,0.07692307692307693
22,16,field_goal,0.8
22,16,go_for_it,0.2
22,17,field_goal,1
22,18,field_goal,0.75
22,18,go_for_it,0.25
22,19,field_goal,1
22,20,field_goal,1
22,21,field_goal,0.6666666666666666
22,21,go_for_it,0.3333333333333333
22,22,field_goal,1
23,1,field_goal,0.37777777777777777
23,1,go_for_it,0.6222222222222222
23,2,field_goal,0.5757575757575758
23,2,go_for_it,0.42424242424242425
23,3,field_goal,0.6896551724137931
23,3,go_for_it,0.3103448275862069
23,4,field_goal,0.8214285714285714
23,4,go_for_it,0.17857142857142858
23,5,field_goal,0.9444444444444444
23,5,go_for_it,0.05555555555555555
23,6,field_goal,1
23,7,field_goal,0.9411764705882353
23,7,go_for_it,0.058823529411764705
23,8,field_goal,0.8484848484848485
23,8,go_for_it,0.15151515151515152
23,9,field_goal,1
23,10,field_goal,0.7878787878787878
23,10,go_for_it,0.21212121212121213
23,11,field_goal,0.9090909090909091
23,11,go_for_it,0.09090909090909091
23,12,field_goal,1
23,13,field_goal,1
23,14,field_goal,0.9
23,14,go_for_it,0.1
23,15,field_goal,0.8
23,15,go_for_it,0.2
23,16,field_goal,0.625
23,16,go_for_it,0.375
23,17,field_goal,1
23,18,field_goal,0.6666666666666666
23,18,go_for_it,0.3333333333333333
23,19,field_goal,1
23,20,field_goal,1
23,21,field_goal,0.8
23,21,go_for_it,0.2
23,22,field_goal,0.8
23,22,go_for_it,0.2
23,23,field_goal,0.8
23,23,go_for_it,0.2
24,1,field_goal,0.21951219512195122
24,1,go_for_it,0.7804878048780488
24,2,field_goal,0.7352941176470589
24,2,go_for_it,0.2647058823529412
